5 2.03686
4.9 2.08808
4.8 2.07757
4.7 2.05966
4.6 2.12756
4.5 2.05703
4.4 2.08787
4.3 2.06776
4.2 2.07686
4.1 2.2077
4 2.09783
3.9 2.12677
3.8 2.14784
3.7 2.29716
3.6 2.19823
3.5 2.43651
3.4 2.19703
3.3 2.21714
3.2 2.31866
3.1 2.77832
3 2.74693
2.9 2.48646
2.8 2.42596
2.7 2.34656
2.6 2.76743
2.5 2.53764
2.4 3.67812
2.3 3.1593
2.2 2.93782
2.1 3.7497
2 3.16909
1.9 3.5394
1.8 3.3378
1.7 4.11049
1.6 4.44937
1.5 4.92998
1.4 6.41828
1.3 4.93127
1.2 6.53357
1.1 6.24326
1 6.36346
0.9 7.12847
0.8 6.76306
0.7 8.12986
0.6 8.50136
0.5 8.20166
0.4 8.14996
0.3 8.79246
0.2 10.2624
0.0999999 10.7402
