5 4.57292
4.9 4.98266
4.8 4.83345
4.7 5.04257
4.6 5.80264
4.5 4.82339
4.4 5.42213
4.3 6.70232
4.2 5.15257
4.1 5.67253
4 6.23203
3.9 6.5921
3.8 6.14306
3.7 8.18249
3.6 6.86292
3.5 6.75233
3.4 6.812
3.3 7.86266
3.2 8.33175
3.1 7.70174
3 9.52208
2.9 9.32186
2.8 9.82168
2.7 9.33155
2.6 9.73216
2.5 11.5113
2.4 12.2122
2.3 11.402
2.2 13.0722
2.1 12.8414
2 11.5122
1.9 14.0216
1.8 13.4611
1.7 14.5811
1.6 14.3919
1.5 14.7122
1.4 15.8119
1.3 16.3016
1.2 16.361
1.1 17.5917
1 17.8119
0.9 17.7919
0.8 18.8916
0.7 18.2822
0.6 19.3922
0.5 19.4924
0.4 20.4227
0.3 20.3515
0.2 21.5321
0.0999999 21.7627
