0.2 3.21487
0.204082 3.23407
0.208333 3.254
0.212766 3.31266
0.217391 3.2645
0.222222 3.52373
0.227273 3.49244
0.232558 3.43236
0.238095 3.26439
0.243902 3.46443
0.25 3.45316
0.25641 3.59378
0.263158 4.01472
0.27027 3.78325
0.277778 3.56333
0.285714 3.73213
0.294118 4.17229
0.30303 4.47239
0.3125 4.42255
0.322581 4.68119
0.333333 4.49247
0.344828 4.10417
0.357143 6.0834
0.37037 4.6517
0.384615 5.37109
0.4 5.79268
0.416667 6.28049
0.434783 7.02289
0.454545 8.03399
0.47619 8.49328
0.5 8.10149
0.526316 8.27259
0.555556 7.76218
0.588235 9.80309
0.625 10.3141
0.666667 10.1822
0.714286 10.4426
0.769231 10.3821
0.833333 11.5417
0.909091 12.4924
1 12.8723
1.11111 11.7425
1.25 13.6928
1.42857 13.0416
1.66667 13.7419
2 15.1013
2.5 14.4839
3.33333 15.5229
5 15.8433
10 15.9642
